Model Name,Release Date,USD per 1M Tokens,MMLU,GPQA Diamond,HumanEval,MATH-500,LMSys Chatbot Arena ELO,MATH 5,Tokens per Second,Prefill Latency (s),Prompt Length (tk)
Claude-3-Haiku,2024-03-04,0.5,71,33,77,39,1179,13,122.7,0.467,1000
Claude-3-Opus,2024-03-04,30,84,50,83,64,1248,34,26.5,1.984,1000
Claude-3-Sonnet,2024-03-04,6,77,37,71,41,1201,16,61.8,0.789,1000
Claude-3.5-Haiku,2024-10-22,1.6,81,37,87,67,1236,,64.2,0.768,1000
Claude-3.5-Sonnet-2024-06,2024-06-20,6,88,56,90,71,1268,46,55.9,0.906,1000
Claude-3.5-Sonnet-2024-10,2024-10-22,6,89,58,96,76,1282,53,55.2,0.907,1000
Gemini 2.0 Flash,2025-02-05,0.175,88,62,90,93,1358,82,,,
Gemini-1.5-Flash-2024-05,2024-05-10,0.13,79,39,,55,1227,23,298.4,0.307,1000
Gemini-1.5-Flash-2024-09,2024-09-24,0.13,75,45,83,83,1271,58,190.5,0.348,1000
Gemini-1.5-Flash-8B,2024-10-03,0.07,75,30,12,70,1211,,285.2,0.335,1000
Gemini-1.5-Pro-2024-05,2024-05-23,2.19,86,46,83,66,1260,41,64.8,0.738,1000
Gemini-1.5-Pro-2024-09,2024-09-24,2.19,86,61,88,88,1301,67,59.1,0.864,1000
Gemma-2-27B,2024-06-24,0.26,77,39,76,54,1219,23,47.9,0.527,1000
Gemma-2-9B,2024-06-24,0.13,73,31,64,50,1190,18,162.8,0.426,1000
GPT-3.5-Turbo-2023-11,2023-11-06,0.75,68,30,71,44,1107,15,121.5,0.598,1000
GPT-4-0314,2023-03-14,37.5,86,33,67,,1186,,23.6,0.724,1000
GPT-4 Turbo,2023-11-06,15,87,50,92,74,1256,36,39.2,1.246,1000
GPT-4o-2024-05,2024-05-13,7.5,87,53,94,79,1285,48,86.4,0.687,1000
GPT-4o-2024-08,2024-08-06,4.38,89,52,93,80,1337,47,81,0.673,1000
GPT-4o-2024-11,2024-11-20,4.38,86,54,93,76,1361,50,148.9,0.404,1000
GPT-4o-mini,2024-07-18,0.26,82,43,88,79,1273,48,112.2,0.626,1000
Llama-2-Chat-13B,2023-07-18,0.56,45,19,,,1063,,43.1,0.447,1000
Llama-2-Chat-7B,2023-07-18,0.33,13,6,13,,1037,,125.4,0.508,1000
Llama-3-Instruct-70B,2024-04-18,0.89,79,39,18,53,1206,22,44.6,0.472,1000
Llama-3-Instruct-8B,2024-04-18,0.15,64,30,53,32,1152,8,122.8,0.33,1000
Llama-3.1-Instruct-405B,2024-07-23,3.5,87,50,87,70,1266,45,27.9,0.719,1000
Llama-3.1-Instruct-70B,2024-07-23,0.72,84,43,80,64,1249,39,71.6,0.425,1000
Llama-3.1-Instruct-8B,2024-07-23,0.1,71,27,67,50,1172,22,164.3,0.35,1000
Llama-3.2-Instruct-1B,2024-09-24,0.05,35,14,40,13,1103,,552.1,0.317,1000
Llama-3.2-Instruct-3B,2024-09-24,0.08,64,21,60,50,1103,,200.3,0.316,1000
Mistral Small 3,2025-01-30,0.475,82,46,85,74,1210,45,,,
Mistral-8x22,2024-04-17,1.2,76,37,74,56,1148,23,85.3,0.624,1000
Mistral-Large-2-2024-07,2024-07-24,3,85,48,91,71,1251,45,34.4,0.486,1000
Mistral-Large-2-2024-11,2024-11-18,3,85,47,90,72,1247,,43.5,0.639,1000
Mistral-Large-2024-02,2024-02-26,6,69,36,69,49,1157,21,37.8,0.5,1000
Mistral-NeMo,2024-07-18,0.13,66,33,71,44,,10,88.3,0.551,1000
Mistral-Small-2024-02,2024-02-26,1.5,69,31,79,56,,,54.1,0.429,1000
Phi 4,2024-12-13,0.1225,85,53,87,81,1204,65,,,
