Price description,Price,Price Unit,Model,Fine Tuned Model,Price date,Model Version,Organization (model developer),Organization (API vendor),Context Window Tokens,Archived price link,Tags,Notes,Last Modified,Price sheet document,Created By
$2.50 / 1M input tokens,$2.50000,$/1M input tokens,GPT-4o,,2024-08-06,gpt-4o-2024-08-06,OpenAI,OpenAI,,https://web.archive.org/web/20240812003133/https://openai.com/api/pricing/,OpenAI: 50% off for batch submission,,2/3/2025 3:16pm,,Robi Rahman
$10.00 / 1M output tokens,$10.00000,$/1M output tokens,GPT-4o,,2024-08-06,gpt-4o-2024-08-06,OpenAI,OpenAI,,https://web.archive.org/web/20240812003133/https://openai.com/api/pricing/,OpenAI: 50% off for batch submission,,2/3/2025 3:16pm,,Robi Rahman
$0.638 / 1k 512^2 px input images,$0.63800,$/1k 512^2 px input images,GPT-4o,,2024-08-06,gpt-4o-2024-08-06,OpenAI,OpenAI,,https://web.archive.org/web/20240812003133/https://openai.com/api/pricing/,,"High-resolution input images are priced as follows: 
- 85 base tokens are used each time
- For smaller images, the image is divided into 512x512 pixel tiles
- For larger images, the image will be resized so that a maximum of 4 tiles will be used
- 170 tokens are used per tile
- The standard price per input token is used for the total number of tokens required (for this model, this is $2.5/million input tokens)
Example: a 512x513 pixel input image:
Tokens = 85 + 170*2
",2/3/2025 3:16pm,,James Sanders
$1.275 / 1k 512^2 px input images,$1.27500,$/1k 512^2 px input images,GPT-4o,,2024-05-13,gpt-4o-2024-05-13,OpenAI,OpenAI,,https://web.archive.org/web/20240812003133/https://openai.com/api/pricing/,,"High-resolution input images are priced as follows: 
- 85 base tokens are used each time
- For smaller images, the image is divided into 512x512 pixel tiles
- For larger images, the image will be resized so that a maximum of 4 tiles will be used
- 170 tokens are used per tile
- The standard price per input token is used for the total number of tokens required (for this model, this is $2.5/million input tokens)
Example: a 512x513 pixel input image:
Tokens = 85 + 170*2
",2/3/2025 3:16pm,,James Sanders
$0.213 / 1k low resolution input images,$0.21300,$/1k low resolution input images,GPT-4o,,2024-08-06,gpt-4o-2024-08-06,OpenAI,OpenAI,,https://web.archive.org/web/20240812003133/https://openai.com/api/pricing/,,"Low-resolution images use 85 input tokens/image
The price of tokens is $2.5 per million input tokens",2/3/2025 3:16pm,,James Sanders
$0.425 / 1k low resolution input images,$0.42500,$/1k low resolution input images,GPT-4o,,2024-05-13,gpt-4o-2024-05-13,OpenAI,OpenAI,,https://web.archive.org/web/20240812003133/https://openai.com/api/pricing/,,Low-resolution images use 85 input tokens/image,2/3/2025 3:16pm,,James Sanders
$1.913 / 1k 1024^2 px input images,$1.91300,$/1k 1024^2 px input images,GPT-4o,,2024-08-06,gpt-4o-2024-08-06,OpenAI,OpenAI,,https://web.archive.org/web/20240812003133/https://openai.com/api/pricing/,,"1024x1024 images are scaled down

High-resolution input images are priced as follows: 
- 85 base tokens are used each time
- For smaller images, the image is divided into 512x512 pixel tiles
- For larger images, the image will be resized so that a maximum of 4 tiles will be used
- 170 tokens are used per tile
- The standard price per input token is used for the total number of tokens required (for this model, this is $2.5/million input tokens)
Example: a 512x513 pixel input image:
Tokens = 85 + 170*2
",2/3/2025 3:16pm,,James Sanders
$5.00 / 1M input tokens ,$5.00000,$/1M input tokens,GPT-4o,,2024-05-13,gpt-4o-2024-05-13,OpenAI,OpenAI,,https://web.archive.org/web/20240812003133/https://openai.com/api/pricing/,OpenAI: 50% off for batch submission,,2/3/2025 3:16pm,,James Sanders
$15.00 / 1M output tokens,$15.00000,$/1M output tokens,GPT-4o,,2024-05-13,gpt-4o-2024-05-13,OpenAI,OpenAI,,https://web.archive.org/web/20240812003133/https://openai.com/api/pricing/,OpenAI: 50% off for batch submission,,2/3/2025 3:16pm,,James Sanders
$3.825 / 1k 1024^2 px input images,$3.82500,$/1k 1024^2 px input images,GPT-4o,,2024-05-13,gpt-4o-2024-05-13,OpenAI,OpenAI,,https://web.archive.org/web/20240812003133/https://openai.com/api/pricing/,,"1024x1024 images are scaled down

High-resolution input images are priced as follows: 
- 85 base tokens are used each time
- For smaller images, the image is divided into 512x512 pixel tiles
- For larger images, the image will be resized so that a maximum of 4 tiles will be used
- 170 tokens are used per tile
- The standard price per input token is used for the total number of tokens required
Example: a 512x513 pixel input image:
Tokens = 85 + 170*2
",2/3/2025 3:16pm,,James Sanders
