bench,threshold_model,performance_range,Model Name,Release Date,USD per 1M Tokens,benchmark_score
MMLU,GPT-3,"[43.9, 100]",GPT-3.5,2022-11-30,20.0,64.8
MMLU,GPT-3,"[43.9, 100]",GPT-4-0314,2023-03-14,37.5,86.0
MMLU,GPT-3,"[43.9, 100]",GPT-3.5-Turbo-2023-06,2023-06-13,3.25,68.0
MMLU,GPT-3,"[43.9, 100]",GPT-3.5-Turbo-2023-11,2023-11-06,0.75,68.0
MMLU,GPT-3,"[43.9, 100]",GPT-4 Turbo,2023-11-06,15.0,87.0
MMLU,GPT-3,"[43.9, 100]",Llama 2-70B Chat,2023-12-01,0.7625,68.9
MMLU,GPT-3,"[43.9, 100]",Llama 2-13B,2023-12-08,0.35,54.8
MMLU,GPT-3,"[43.9, 100]",GPT-3.5-Turbo-2024-01,2024-01-25,0.75,68.0
MMLU,GPT-3,"[43.9, 100]",Mistral-Large-2024-02,2024-02-26,6.0,69.0
MMLU,GPT-3,"[43.9, 100]",Mistral-Small-2024-02,2024-02-26,1.5,69.0
MMLU,GPT-3,"[43.9, 100]",Claude-3-Haiku,2024-03-04,0.5,71.0
MMLU,GPT-3,"[43.9, 100]",Claude-3-Sonnet,2024-03-04,6.0,77.0
MMLU,GPT-3,"[43.9, 100]",Claude-3-Opus,2024-03-04,30.0,84.0
MMLU,GPT-3,"[43.9, 100]",Llama 2-13B,2024-04-14,0.22,54.8
MMLU,GPT-3,"[43.9, 100]",Mistral-8x22,2024-04-17,1.2,76.0
MMLU,GPT-3,"[43.9, 100]",Llama-3-Instruct-70B,2024-04-18,0.89,79.0
MMLU,GPT-3,"[43.9, 100]",Llama-3-Instruct-8B,2024-04-18,0.15,64.0
MMLU,GPT-3,"[43.9, 100]",Gemini-1.5-Flash-2024-05,2024-05-10,0.13,79.0
MMLU,GPT-3,"[43.9, 100]",GPT-4o-2024-05,2024-05-13,7.5,87.0
MMLU,GPT-3,"[43.9, 100]",Gemini-1.5-Pro-2024-05,2024-05-23,2.19,86.0
MMLU,GPT-3,"[43.9, 100]",Claude-3.5-Sonnet-2024-06,2024-06-20,6.0,88.0
MMLU,GPT-3,"[43.9, 100]",Gemma-2-9B,2024-06-24,0.13,73.0
MMLU,GPT-3,"[43.9, 100]",Gemma-2-27B,2024-06-24,0.26,77.0
MMLU,GPT-3,"[43.9, 100]",Mistral-NeMo,2024-07-18,0.13,66.0
MMLU,GPT-3,"[43.9, 100]",GPT-4o-mini,2024-07-18,0.26,82.0
MMLU,GPT-3,"[43.9, 100]",Llama-3.1-Instruct-70B,2024-07-23,0.72,84.0
MMLU,GPT-3,"[43.9, 100]",Llama-3.1-Instruct-405B,2024-07-23,3.5,87.0
MMLU,GPT-3,"[43.9, 100]",Mistral-Large-2-2024-07,2024-07-24,3.0,85.0
MMLU,GPT-3,"[43.9, 100]",GPT-4o-2024-08,2024-08-06,4.38,89.0
MMLU,GPT-3,"[43.9, 100]",Claude 2,2024-08-12,12.0,78.5
MMLU,GPT-3,"[43.9, 100]",Gemini 1.0 Pro,2024-08-12,0.75,71.8
MMLU,GPT-3,"[43.9, 100]",Command R+,2024-08-13,6.0,75.7
